model,variable,beta,se,t_stat,signif
Brand-Nested,prices_alpha,-0.310052230678198,,,calibrated
Brand-Nested,pkg_size,0.00371246525170881,0.000258113944656582,14.3830479854477,***
Brand-Nested,joint_pc1,-0.286850291916638,0.0417653352577457,-6.86814292633839,***
Brand-Nested,joint_pc2,0.268066257886898,0.0368193721322242,7.28057656508181,***
Brand-Nested,joint_pc3,-0.1478603237887,0.0380365131550296,-3.88732592774866,***
Brand-Nested,joint_pc4,0.157397330155875,0.0392732347233846,4.00775060329206,***
Brand-Nested,joint_pc5,-0.124346082137399,0.038399383678958,-3.23823119602666,***
Brand-Nested,is_other,0.459027453620412,0.130654547983713,3.51329104653619,***
Brand-Nested,import_freight_shock,0.670889835663458,0.23055224681334,2.90992538540136,***
Brand-Nested,rho,0.35,,,profiled
